"Guid"	"Name"	"Url"	"Alias"	"Icon"	"ParentGuid"	"ParentName"	"Level"	"Description"	"Sort"	"Status"	"IsDeleted"	"IsDefaultRouter"	"CreatedOn"	"CreatedByUserGuid"	"CreatedByUserName"	"ModifiedOn"	"ModifiedByUserGuid"	"ModifiedByUserName"	"Component"	"HideInMenu"	"NotCache"	"BeforeCloseFun"
"093B5CB0-B518-4CBD-9B2A-ECE7B11A3507"	"首页"	"home"	"home"	"md-home"	"11CD774B-42D9-4386-AF84-C9D86E9BFD3A"	"默认路由管理"	"1"		"0"	"1"	"0"	"0"	"13/12/2018 15:29:35.574871"	"00000000-0000-0000-0000-000000000000"	"超级管理员"	"22/12/2018 16:52:17.967435"	"684ECA5E-2AEB-4478-BA70-8A6B29F78696"	"管理员"		"0"	"0"	
"09DB3972-7BBC-44B8-B022-6C8B8BDD9D54"	"权限管理"	"rbac/permission"	"rbac_permission_page"	"md-apps"	"71A53FA6-C271-4834-9B92-6BA4E187C03A"	"用户权限管理"	"1"		"0"	"1"	"0"	"0"	"29/11/2018 15:28:39.913587"	"00000000-0000-0000-0000-000000000000"	"超级管理员"	"4/5/2019 16:55:11.965134"	"684ECA5E-2AEB-4478-BA70-8A6B29F78696"	"管理员"	"/rbac/permission.vue"	"0"	"0"	
"10E1E5FF-C422-4172-A6D4-04C1043CD9FA"	"菜单管理"	"rbac/menu"	"rbac_menu_page"	"md-menu"	"71A53FA6-C271-4834-9B92-6BA4E187C03A"	"用户权限管理"	"1"		"0"	"1"	"0"	"1"	"29/11/2018 15:28:58.97917"	"00000000-0000-0000-0000-000000000000"	"超级管理员"	"4/5/2019 16:53:56.430237"	"684ECA5E-2AEB-4478-BA70-8A6B29F78696"	"管理员"	"/rbac/menu.vue"	"0"	"0"	
"11CD774B-42D9-4386-AF84-C9D86E9BFD3A"	"默认路由管理"	"default-router"	"default_router"	"md-planet"	"00000000-0000-0000-0000-000000000000"	"顶级菜单"	"0"		"0"	"0"	"0"	"0"	"13/12/2018 15:29:01.352946"	"00000000-0000-0000-0000-000000000000"	"超级管理员"					"0"	"0"	
"1517F46B-7CDD-47B4-9D22-36A65D0E3E70"	"QQ群"	"/join_page"	"join_page"	"md-grid"	"79C4A1E6-5E04-494E-BC68-8666582EF1EA"	"QQ群"	"1"		"0"	"0"	"0"	"1"	"5/5/2019 23:01:54.593988"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"				"/join-page.vue"	"0"	"0"	
"1B4FCC8B-D2DC-48A6-9377-49ADD360CB1E"	"职位管理"	"user/position"	"user_position_page"	"ios-pin"	"E8281701-1CBA-483A-B8BC-920F8CCBD672"	"人员管理"	"1"		"2"	"1"	"0"	"0"	"14/9/2020 23:23:15.413061"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"14/9/2020 23:32:24.720634"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"/user/position.vue"	"0"	"0"	
"2106D445-AA49-452C-AF1B-2E6665BC627E"	"薪资报表"	"wage/report"	"wage_report_page"	"ios-podium"	"6C2A3D24-409B-4AE9-9671-9D19F08261F5"	"薪资管理"	"1"		"1"	"1"	"0"	"1"	"23/9/2020 20:05:12.132666"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"24/9/2020 18:30:43.755562"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"/wage/report.vue"	"0"	"0"	
"21461F6A-B79A-4242-8545-0DFFFE561665"	"我的工作"	"workflow/wlist"	"workflow_wlist_page"	"md-code-working"	"2763BCA3-96F7-4FFC-9FD9-2986B364CF46"	"流程审批"	"1"		"3"	"1"	"0"	"0"	"3/10/2020 12:46:44.663626"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"14/10/2020 16:34:24.144306"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"系统管理员"	"/workflow/wlist.vue"	"0"	"0"	
"221F2753-DFBD-4CC3-86F5-5D5F2B9B1C18"	"财务管理"	"finance"	"finance"	"md-menu"	"00000000-0000-0000-0000-000000000000"	"顶级菜单"	"1"		"6"	"1"	"0"	"0"	"24/9/2020 18:30:03.314526"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"24/9/2020 18:31:24.463901"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"		"0"	"0"	
"24F6097C-CBD4-4A8C-95EB-A41D979EA864"	"简历列表"	"resume/list"	"resume_list_page"	"ios-list-box"	"E6709108-C645-485C-A9BB-F1041E6D1FF1"	"简历管理"	"1"		"0"	"1"	"0"	"1"	"14/9/2020 22:22:14.787644"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"14/9/2020 22:34:15.908038"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"系统管理员"	"/resume/list.vue"	"0"	"0"	
