"Code"	"MenuGuid"	"Name"	"ActionCode"	"Icon"	"Description"	"Status"	"IsDeleted"	"Type"	"CreatedByUserGuid"	"CreatedOn"	"CreatedByUserName"	"ModifiedOn"	"ModifiedByUserGuid"	"ModifiedByUserName"
"0c9R1goz"	"621edec6-67f2-4242-a631-702d4c589488"	"查看"	"list"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"21/10/2020 12:46:42.791452"	"系统管理员"			
"0xl88UMW"	"21461f6a-b79a-4242-8545-0dfffe561665"	"删除"	"delete"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"16/10/2020 21:17:06.00827"	"系统管理员"			
"111Jz3u5"	"10e1e5ff-c422-4172-a6d4-04c1043cd9fa"	"批量操作"	"batch"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"21/10/2020 12:38:51.073042"	"系统管理员"			
"21x19Jj1"	"4ac09063-2398-44e6-8c2a-c392bd03f281"	"创建"	"create"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"21/10/2020 12:55:53.427508"	"系统管理员"			
"2e873AEt"	"bf507318-6c73-4a0d-88bf-eb8e79382aeb"	"批量操作"	"batch"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"21/10/2020 12:55:02.727158"	"系统管理员"			
"2EKdG4Ir"	"2F458429-3976-408F-8A4F-AACBFE7D82CC"	"删除"	"delete"			"1"	"0"	"1"	"00000000-0000-0000-0000-000000000000"	"14/12/2018 15:22:04.763302"	"超级管理员"			
"2j8mq1jd"	"24f6097c-cbd4-4a8c-95eb-a41d979ea864"	"批量操作"	"batch"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"21/10/2020 12:51:50.136819"	"系统管理员"			
"30K14RFe"	"AEBDA189-0BF8-4F4E-8A7B-7324E9F76BED"	"查看"	"tools_methods_page_view"			"1"	"0"	"0"	"00000000-0000-0000-0000-000000000000"	"13/12/2018 16:55:03.146631"	"超级管理员"			
"3VHUb67f"	"621edec6-67f2-4242-a631-702d4c589488"	"查找字典"	"FindSimpleList"			"1"	"0"	"1"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"16/10/2020 21:10:01.703016"	"系统管理员"			
"47R852bQ"	"21461F6A-B79A-4242-8545-0DFFFE561665"	"查看"	"list"			"1"	"0"	"0"	"20263DA4-AED4-4ABA-A6CC-B985C016858E"	"5/10/2020 20:34:21.508389"	"系统管理员"	"16/10/2020 21:19:36.964344"	"20263da4-aed4-4aba-a6cc-b985c016858e"	"系统管理员"
