"RoleCode"	"PermissionCode"	"CreatedOn"
"C7kPHIwu"	"0xl88UMW"	"17/10/2020 17:43:50.261641"
"C7kPHIwu"	"47R852bQ"	"17/10/2020 17:43:50.209374"
"C7kPHIwu"	"9X9AfaTd"	"17/10/2020 17:43:50.2613"
"C7kPHIwu"	"B7WuV2yg"	"17/10/2020 17:43:50.261664"
"C7kPHIwu"	"CH71Eoc1"	"17/10/2020 17:43:50.26162"
"C7kPHIwu"	"I2U5lW40"	"17/10/2020 17:43:50.261514"
"C7kPHIwu"	"mjb7XW62"	"17/10/2020 17:43:50.261684"
"C7kPHIwu"	"N76RWAiv"	"17/10/2020 17:43:50.261545"
"C7kPHIwu"	"PNfKDg06"	"17/10/2020 17:43:50.261574"
"C7kPHIwu"	"t78ndc1M"	"17/10/2020 17:43:50.261599"
"C7kPHIwu"	"y9r1hV81"	"17/10/2020 17:43:50.261705"
"ihKhNu7A"	"0xl88UMW"	"20/10/2020 20:31:20.97165"
"ihKhNu7A"	"3VHUb67f"	"20/10/2020 20:31:20.972997"
"ihKhNu7A"	"47R852bQ"	"20/10/2020 20:31:20.972035"
"ihKhNu7A"	"5TjBbN1P"	"20/10/2020 20:31:20.972257"
"ihKhNu7A"	"9X9AfaTd"	"20/10/2020 20:31:20.972387"
"ihKhNu7A"	"B7WuV2yg"	"20/10/2020 20:31:20.972513"
"ihKhNu7A"	"CH71Eoc1"	"20/10/2020 20:31:20.972917"
"ihKhNu7A"	"mjb7XW62"	"20/10/2020 20:31:20.972651"
"ihKhNu7A"	"t78ndc1M"	"20/10/2020 20:31:20.972842"
"ihKhNu7A"	"y9r1hV81"	"20/10/2020 20:31:20.972749"
"WPbv96HC"	"0xl88UMW"	"21/10/2020 13:55:17.25861"
"WPbv96HC"	"2EKdG4Ir"	"21/10/2020 13:55:17.267622"
"WPbv96HC"	"30K14RFe"	"21/10/2020 13:55:17.267731"
"WPbv96HC"	"3VHUb67f"	"21/10/2020 13:55:17.267775"
"WPbv96HC"	"47R852bQ"	"21/10/2020 13:55:17.267812"
"WPbv96HC"	"5G6Bg4Jq"	"21/10/2020 13:55:17.268227"
"WPbv96HC"	"5TjBbN1P"	"21/10/2020 13:55:17.267843"
"WPbv96HC"	"9URxzK1s"	"21/10/2020 13:55:17.267885"
"WPbv96HC"	"9X9AfaTd"	"21/10/2020 13:55:17.267915"
"WPbv96HC"	"B7WuV2yg"	"21/10/2020 13:55:17.26795"
"WPbv96HC"	"CH71Eoc1"	"21/10/2020 13:55:17.267981"
"WPbv96HC"	"GNQ0Ue88"	"21/10/2020 13:55:17.268014"
"WPbv96HC"	"I2U5lW40"	"21/10/2020 13:55:17.268043"
"WPbv96HC"	"mjb7XW62"	"21/10/2020 13:55:17.268073"
"WPbv96HC"	"N76RWAiv"	"21/10/2020 13:55:17.268106"
"WPbv96HC"	"Nry7I8go"	"21/10/2020 13:55:17.268136"
"WPbv96HC"	"t78ndc1M"	"21/10/2020 13:55:17.268168"
"WPbv96HC"	"y9r1hV81"	"21/10/2020 13:55:17.268198"
